quake_code,Anno,Mese,Giorno,Luogo,Magnitudo,Latitudine,Longitudine,cfti_url
42120,1497,3,3,Lunigiana,5.8,44.2507,9.9163,https://storing.ingv.it/cfti/cfti5/quake.php?42120IT=
42139,1536,8,17,Appennino tosco-emiliano?,5.3,44.3649,10.9333,https://storing.ingv.it/cfti/cfti5/quake.php?42139IT=
42279,1438,2,2,Grottaferrata (RM),5.4,41.7873,12.6771,https://storing.ingv.it/cfti/cfti5/quake.php?42279IT=
42791,1046,11,9,Media valle dell’Adige,6,45.834,11.0664,https://storing.ingv.it/cfti/cfti5/quake.php?42791IT=
42792,1117,1,3,Toscana settentrionale,5.3,44.0887,10.4516,https://storing.ingv.it/cfti/cfti5/quake.php?42792IT=
42793,1275,11,2,Isola d’Ischia,5.8,40.7256,13.911,https://storing.ingv.it/cfti/cfti5/quake.php?42793IT=
42794,1348,9,13,Subiaco (RM),5.6,41.9259,13.0946,https://storing.ingv.it/cfti/cfti5/quake.php?42794IT=
42795,1353,4,22,Melfi (PZ),6,40.9944,15.653,https://storing.ingv.it/cfti/cfti5/quake.php?42795IT=
42796,1377,11,14,Tropea (VV),5.4,38.6752,15.8986,https://storing.ingv.it/cfti/cfti5/quake.php?42796IT=
42797,1386,3,17,Napoli,5.4,40.856,14.2603,https://storing.ingv.it/cfti/cfti5/quake.php?42797IT=
42802,1270,,,Sansepolcro (AR),5.6,43.5707,12.1411,https://storing.ingv.it/cfti/cfti5/quake.php?42802IT=
42852,-400,,,Selinunte (TP),5.4,37.584,12.8247,https://storing.ingv.it/cfti/cfti5/quake.php?42852IT=
42853,701,,,Selinunte (TP),5.8,37.584,12.8247,https://storing.ingv.it/cfti/cfti5/quake.php?42853IT=
42855,1997,9,26,Appennino umbro-marchigiano,5.6,43.0415,12.9983,https://storing.ingv.it/cfti/cfti5/quake.php?42855IT=
42856,1997,9,26,Appennino umbro-marchigiano,5.7,43.1141,12.9011,https://storing.ingv.it/cfti/cfti5/quake.php?42856IT=
42857,1997,10,14,Appennino umbro-marchigiano,5.5,42.9471,12.9735,https://storing.ingv.it/cfti/cfti5/quake.php?42857IT=
50001,-436,,,Italia centrale,5.4,43,12.5,https://storing.ingv.it/cfti/cfti5/quake.php?50001IT=
50008,-217,6,,Etruria,6.4,43.25,11.25,https://storing.ingv.it/cfti/cfti5/quake.php?50008IT=
50012,-174,,,Sabina,6.4,42.25,12.667,https://storing.ingv.it/cfti/cfti5/quake.php?50012IT=
50017,-100,,,Picenum,5.8,43.1673,13.5,https://storing.ingv.it/cfti/cfti5/quake.php?50017IT=
50018,-99,,,Norcia (PG),5.6,42.7932,13.0936,https://storing.ingv.it/cfti/cfti5/quake.php?50018IT=
50021,-91,,,Reggio Calabria?,5.8,38.1087,15.6471,https://storing.ingv.it/cfti/cfti5/quake.php?50021IT=
50022,-91,,,Modena-Reggio Emilia,5.6,44.648,10.7842,https://storing.ingv.it/cfti/cfti5/quake.php?50022IT=
50023,-83,,,Roma,5.4,41.896,12.4822,https://storing.ingv.it/cfti/cfti5/quake.php?50023IT=
50024,-76,,,Rieti,6.4,42.4048,12.8667,https://storing.ingv.it/cfti/cfti5/quake.php?50024IT=
50025,-72,,,Roma,5.4,41.896,12.4822,https://storing.ingv.it/cfti/cfti5/quake.php?50025IT=
50026,-63,,,Spoleto (PG),5.6,42.7326,12.7357,https://storing.ingv.it/cfti/cfti5/quake.php?50026IT=
50027,-56,4,,Potentia (MC),5.8,43.4329,13.6649,https://storing.ingv.it/cfti/cfti5/quake.php?50027IT=
50033,-2,,,Napoli,5.4,40.856,14.2603,https://storing.ingv.it/cfti/cfti5/quake.php?50033IT=
50035,15,,,Roma,5.4,41.896,12.4822,https://storing.ingv.it/cfti/cfti5/quake.php?50035IT=
50036,17,,,Reggio Calabria-Sicilia,5.4,37.8043,15.1986,https://storing.ingv.it/cfti/cfti5/quake.php?50036IT=
50037,37,3,16,Capri (NA),5.1,40.5505,14.2429,https://storing.ingv.it/cfti/cfti5/quake.php?50037IT=
50038,51,,,Roma,5.6,41.896,12.4822,https://storing.ingv.it/cfti/cfti5/quake.php?50038IT=
50039,62,2,5,Pompei (NA),5.8,40.7777,14.4171,https://storing.ingv.it/cfti/cfti5/quake.php?50039IT=
50043,79,8,25,Area vesuviana,6,40.7954,14.3891,https://storing.ingv.it/cfti/cfti5/quake.php?50043IT=
50045,99,,,Circello (BN),6.2,41.3578,14.8082,https://storing.ingv.it/cfti/cfti5/quake.php?50045IT=
50046,101,,,San Valentino in Abruzzo (PE),6.2,42.2333,13.987,https://storing.ingv.it/cfti/cfti5/quake.php?50046IT=
50055,346,,,Sannio,7,41.3867,14.4267,https://storing.ingv.it/cfti/cfti5/quake.php?50055IT=
50056,361,,,Stretto di Messina,6.4,38.1482,15.5982,https://storing.ingv.it/cfti/cfti5/quake.php?50056IT=
50058,375,,,Benevento,5.6,41.1297,14.777,https://storing.ingv.it/cfti/cfti5/quake.php?50058IT=
50061,443,,,Roma,5.6,41.896,12.4822,https://storing.ingv.it/cfti/cfti5/quake.php?50061IT=
50064,484,,,Roma,5.4,41.896,12.4822,https://storing.ingv.it/cfti/cfti5/quake.php?50064IT=
50071,725,,,Classe (RA)-Ravenna,5.6,44.3988,12.2155,https://storing.ingv.it/cfti/cfti5/quake.php?50071IT=
50072,778,,,Treviso,5.8,45.6699,12.2438,https://storing.ingv.it/cfti/cfti5/quake.php?50072IT=
50073,801,4,29,Roma,5.4,41.896,12.4822,https://storing.ingv.it/cfti/cfti5/quake.php?50073IT=
50076,847,6,,Sannio,5.6,41.6227,14.1595,https://storing.ingv.it/cfti/cfti5/quake.php?50076IT=
50077,853,8,31,Messina,5.4,38.1877,15.5493,https://storing.ingv.it/cfti/cfti5/quake.php?50077IT=
50079,951,,,Rossano (CS),6,39.5742,16.6352,https://storing.ingv.it/cfti/cfti5/quake.php?50079IT=
50081,989,10,25,Irpinia,6.9,41.0068,15.173,https://storing.ingv.it/cfti/cfti5/quake.php?50081IT=
413,1456,12,5,Samnio-Irpinia,7.1,41.1844,14.8742,https://storing.ingv.it/cfti/cfti5/quake.php?C0413IT=
